"Чемпионат мира (отборочный турнир, КАФ)",19:00,Намибия,Либерия,0-0,"Начало: 05.06, 19:00",1.97,3.15,4.10,0,3,3.92,3,4,0,0,6.70,1,2,0,4,3.70,1,8,1,0, , , ,0,0,9.90,2,4,2,0, , , ,0,1, , , ,0,0,3.70,1,8,0,0,2.92,4,2,1,2, ,5,0,0,0,1.15, , ,2,0,18.50, , ,0,1, , , ,0,1, , , ,0,3,25.00,2,3,2,3,2.96, , ,1,3,9.10,4,7,2,1, , , ,1,2,3.54,2,4,2,2,2.20,4,2
"Чемпионат мира (отборочный турнир, КАФ)",19:00,Сьерра-Леоне,Джибути,0-0,"Начало: 05.06, 19:00",1.43,3.70,9.60,1,3, , , ,1,5,24.00, , ,0,2, , , ,0,0, , , ,2,0, , , ,1,1, , , ,1,2, , , ,2,3,11.00,4,5,2,0,1.36,4,1,2,2,7.80,1,4,0,0,18.50, , ,0,2,1.15, , ,1,1, , , ,0,1, , , ,0,6, , , ,3,1, , , ,3,1,4.50, , ,2,3, , , ,1,4, , , ,2,1,5.70,3,6
"Чемпионат мира (отборочный турнир, КАФ)",19:00,Того,Южный Судан,0-0,"Начало: 05.06, 19:00",1.67,3.15,6.40,1,1,2.44, , ,2,1,2.54, , ,0,3,11.00, , ,0,0, , , ,1,1, , , ,3,2,2.31,6,4,2,0,1.92,8,2,2,0, , , ,1,1,3.02,5,2,0,1,2.53,2,5,0,0,1.64, , ,1,1,5.30, , ,0,0, , , ,0,4, , , ,1,0,7.50,2,2,0,4,1.50, , ,0,3,13.00,2,4,2,3,6.95,4,5,0,1,4.50,1,4,2,1,1.93,4,1
"Чемпионат мира (отборочный турнир, КАФ)",19:00,ЦАР,Чад,0-0,"Начало: 05.06, 19:00",1.78,3.15,5.20,4,0,1.01, , ,6,0,1.01, , ,1,1, , , ,2,4, , , ,1,2, , , ,1,2,2.40, , ,2,0, , , ,3,0, , , ,0,1, , , ,2,1, , , ,2,1,3.95, , ,1,0,2.00, , ,0,3, , , ,1,3, , , ,1,1, , , ,0,1, , , ,0,5, , , ,1,2, , , ,2,2,8.80, , ,0,1,1.39, , 
"Чемпионат мира (отборочный турнир, КАФ)",22:00,Тунис,Экв. Гвинея,0-0,"Начало: 05.06, 22:00",1.28,5.40,9.80,0,0,1.71,0,5,0,0,5.10,1,4,0,0,2.07,2,2,1,1,3.18,1,1,0,1, , , ,2,0,1.39, , ,0,0,1.33,11,5,1,0, , , ,4,0, , , ,0,2,6.00,3,4,0,1,5.15, , ,2,0,1.07, , ,0,1,3.85,0,4,4,0,9.50,7,3,4,2,2.41,6,2,1,1,8.00,1,6,1,1, , , ,1,0, , , ,1,0, , , ,0,0,2.86,0,0
